NbSim,MCPrice,QMCPrice,BS_price
8600,6.00633,6.04762,6.06195
8700,6.00273,6.10245,6.06195
8800,6.06845,6.09443,6.06195
8900,6.01043,5.98251,6.06195
9000,6.05559,5.98151,6.06195
9100,6.04347,6.05918,6.06195
9200,6.03974,6.07277,6.06195
9300,5.98719,6.06123,6.06195
9400,6.00518,6.04898,6.06195
9500,6.05814,6.02107,6.06195
9600,6.04193,6.08885,6.06195
9700,6.123,6.07613,6.06195
9800,6.12891,6.05564,6.06195
9900,6.08231,6.08626,6.06195
10000,6.03513,6.04591,6.06195
10100,6.05246,6.0737,6.06195
10200,6.01535,6.01221,6.06195
10300,6.11509,6.07,6.06195
10400,6.11321,6.04264,6.06195
10500,6.02023,6.0649,6.06195
10600,6.03779,6.02733,6.06195
10700,6.06493,6.07698,6.06195
10800,6.06274,6.09457,6.06195
10900,5.98779,6.07068,6.06195
11000,6.12318,6.05625,6.06195
11100,6.02442,6.08552,6.06195
11200,6.0275,5.99723,6.06195
11300,6.14521,6.10448,6.06195
11400,6.10792,6.05522,6.06195
11500,6.01204,6.05599,6.06195
11600,6.03087,6.05831,6.06195
11700,6.08168,6.04137,6.06195
11800,6.01133,6.03762,6.06195
11900,6.0473,6.06422,6.06195
12000,6.0123,6.02677,6.06195
12100,6.04446,6.07267,6.06195
12200,6.14856,6.07979,6.06195
12300,5.99984,6.04897,6.06195
12400,6.1353,6.06042,6.06195
12500,6.09034,6.06277,6.06195
12600,5.98791,6.11362,6.06195
12700,6.06077,6.10184,6.06195
12800,6.12687,6.11782,6.06195
12900,6.11809,6.10153,6.06195
13000,6.02711,6.04244,6.06195
13100,6.06178,6.09303,6.06195
13200,6.0397,6.00336,6.06195
13300,6.13299,6.06416,6.06195
13400,6.02638,6.06383,6.06195
13500,6.04013,6.08926,6.06195
13600,6.00393,6.08474,6.06195
13700,6.03461,6.05014,6.06195
13800,6.04231,6.09432,6.06195
13900,6.047,6.06987,6.06195
14000,6.03979,6.03755,6.06195
14100,5.99596,6.08189,6.06195
14200,6.02847,6.0769,6.06195
14300,6.00921,6.05177,6.06195
14400,6.03912,6.10634,6.06195
14500,6.08634,6.04512,6.06195
14600,6.05774,6.06454,6.06195
14700,6.03328,6.01416,6.06195
14800,6.11229,6.05928,6.06195
14900,6.06866,6.03438,6.06195
15000,6.12362,6.03925,6.06195
15100,6.04155,6.04791,6.06195
15200,6.07484,6.07196,6.06195
15300,6.07458,6.07973,6.06195
15400,6.07362,6.0354,6.06195
15500,6.02865,6.10895,6.06195
15600,6.0042,6.10709,6.06195
15700,6.0376,6.02324,6.06195
15800,6.08847,6.0437,6.06195
15900,6.02679,6.02806,6.06195
